event_id,recording_id,t,containing_segment_label,prev_segment_label,next_segment_label,temporal_truth,notes,clip_path,contact_sheet_path
recording_000004_batch3_raw_change_peak_t581.0,recording_000004,581.0,Collect floor debris and dispose into trash bin,Collect floor debris and dispose into trash bin,Collect floor debris and dispose into trash bin,,,,
recording_000107_batch3_raw_change_peak_t646.0,recording_000107,646.0,,Fold a tissue paper,,,,,
recording_000442_batch3_raw_change_peak_t529.0,recording_000442,529.0,Unroll and place plastic wrap over bowl from large roll,Adjust excess plastic wrap,Plastic wrap processing cycle,,,,
recording_000111_batch3_raw_change_peak_t421.0,recording_000111,421.0,,Squeegee clean sink rim,Cleaning tool rinsing preparation,,,,
recording_000016_batch3_raw_change_peak_t600.0,recording_000016,600.0,,Roll and secure folded umbrella,Handle items in storage box,,,,
recording_000012_batch3_raw_change_peak_t245.0,recording_000012,245.0,Coil second white data cable,Coil USB cable,Uncoil cable and spread on table,,,,
recording_000034_batch3_raw_change_peak_t216.0,recording_000034,216.0,Coil USB data cable,Uncoil USB data cable,Uncoil white cable,,,,
recording_000060_batch3_raw_change_peak_t328.0,recording_000060,328.0,Take and unfold a new tissue sheet,Crumple and discard a tissue sheet,Fold a tissue sheet repeatedly,,,,
recording_000107_batch3_raw_change_peak_t534.0,recording_000107,534.0,Fold a tissue paper,Fold and unfold tissue,,,,,
recording_000039_batch3_raw_change_peak_t377.0,recording_000039,377.0,Scrub bowl with sponge,Rinse bowl under running water,Rinsing bowl under running water,,,,
recording_000159_batch3_raw_change_peak_t242.0,recording_000159,242.0,,"Vapor puff cycle (exhalation, dissipation, and preparation)",,,,,
recording_000159_batch3_raw_change_peak_t635.0,recording_000159,635.0,,"Vapor puff cycle (exhalation, dissipation, and preparation)",,,,,
recording_000106_batch3_raw_change_peak_t184.0,recording_000106,184.0,Fold paper edge and crease,Fold paper in half and crease,Fold a tissue paper (in progress),,,,
recording_000044_batch3_raw_change_peak_t511.0,recording_000044,511.0,Prepare new tissue,Wipe table with second tissue,Wipe table (second tissue),,,,
recording_000128_batch3_raw_change_peak_t165.0,recording_000128,165.0,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen with cleaning cloth,Wipe smartphone screen (1st pass),,,,
recording_000162_batch3_raw_change_peak_t39.0,recording_000162,39.0,Clean sink drain strainer,Clean sink drain strainer,Clean sink drain strainer,,,,
recording_000162_batch3_raw_change_peak_t516.0,recording_000162,516.0,Clean sink strainer cycle,Clean sink strainer cycle,Clean sink strainer cycle,,,,
recording_000148_batch3_raw_change_peak_t263.0,recording_000148,263.0,Fold tissue into compact rectangle,Fold a crumpled tissue into a neat rectangle and press it flat,Fold tissue into compact rectangle,,,,
recording_000016_batch3_raw_change_peak_t290.0,recording_000016,290.0,Fold umbrella,Unfold umbrella,First upward roll and side edge tucking,,,,
recording_000021_batch3_raw_change_peak_t53.0,recording_000021,53.0,"Shake water from mug and hands, place mug on counter",Rinse mug under running water,Retrieve mug again and return to sink,,,,
recording_000044_batch3_raw_change_peak_t262.0,recording_000044,262.0,Wipe table surface with tissue,Extract new tissue from tissue box,Preparing new cleaning tissue,,,,
recording_000047_batch3_raw_change_peak_t479.0,recording_000047,479.0,Wipe table with second cleaning wipe,Replace used cleaning wipe,Replace used cleaning tissue,,,,
recording_000159_batch3_raw_change_peak_t371.0,recording_000159,371.0,,"Vapor puff cycle (exhalation, dissipation, and preparation)",,,,,
recording_000018_batch3_raw_change_peak_t293.0,recording_000018,293.0,Uncoiling USB cable,Coiling USB cable,Coiling USB cable,,,,
recording_000128_batch3_raw_change_peak_t559.0,recording_000128,559.0,Wipe mobile phone screen with cleaning cloth,Inspect mobile phone screen cleanliness,Inspect mobile phone screen cleanliness,,,,
recording_000168_batch3_raw_change_peak_t194.0,recording_000168,194.0,Clean sink strainer,Rinse and reseat sink strainer,Clean sink strainer,,,,
recording_000130_batch3_raw_change_peak_t269.0,recording_000130,269.0,"Unplug, coil, and store power cable in cabinet",Plug cable into power adapter,"Retrieve, uncoil, and plug in power cable",,,,
recording_000142_batch3_raw_change_peak_t109.0,recording_000142,109.0,Assemble lanyard ID card holder,Assemble lanyard ID card holder,Assemble lanyard ID card holder,,,,
recording_000162_batch3_raw_change_peak_t408.0,recording_000162,408.0,Clean and replace sink strainer,Clean and replace sink strainer,Clean sink drain strainer,,,,
recording_000143_batch3_raw_change_peak_t619.0,recording_000143,619.0,,Operate smartphone,,,,,
recording_000109_batch3_raw_change_peak_t12.0,recording_000109,12.0,,Hand-to-head self-manipulation,,,,,
recording_000060_batch3_raw_change_peak_t630.0,recording_000060,630.0,fold and press step 7,fold and press step 7,fold and press step 8,,,,
recording_000203_batch3_raw_change_peak_t34.0,recording_000203,34.0,Clean sink drain strainer,Clean sink drain strainer,Clean sink drain strainer,,,,
recording_000051_batch3_raw_change_peak_t517.0,recording_000051,517.0,Folding a new tissue sheet,Fold a new tissue (starts in clip),Tissue folding (completed),,,,
recording_000034_batch3_raw_change_peak_t111.0,recording_000034,111.0,Coil white cable into a neat loop,Uncoil neatly looped white cable,Coil white cable into neat bundle,,,,
recording_000018_batch3_raw_change_peak_t552.0,recording_000018,552.0,Uncoil and recoil USB cable through table hole,Uncoil and recoil USB cable neatly,Uncoil USB cable,,,,
recording_000217_batch3_raw_change_peak_t301.0,recording_000217,301.0,Rinse sink strainer,Remove strainer from sink drain,Reinstall sink strainer,,,,
recording_000090_batch3_raw_change_peak_t209.0,recording_000090,209.0,Retrieve new tissue from pack,Fold a tissue sheet,Wipe table surface with tissue,,,,
recording_000060_batch3_raw_change_peak_t12.0,recording_000060,12.0,Wipe table with first tissue,,Wipe table with second tissue,,,,
recording_000199_batch3_raw_change_peak_t307.0,recording_000199,307.0,Replace sink strainer,Replace sink strainer,Remove sink strainer,,,,
recording_000045_batch3_raw_change_peak_t614.0,recording_000045,614.0,,Tissue folding and disposal cycle,,,,,
recording_000004_batch3_raw_change_peak_t117.0,recording_000004,117.0,Scoop floor debris and empty into trash bin,Scoop floor debris and empty into trash bin,Empty dustpan into trash bin via pouring,,,,
recording_000162_batch3_raw_change_peak_t195.0,recording_000162,195.0,Rinse and replace sink drain strainer,Clean sink drain strainer,Rinse and replace sink drain strainer,,,,
recording_000217_batch3_raw_change_peak_t477.0,recording_000217,477.0,Reinsert sink strainer,Rinse sink strainer under water,Clean and replace sink strainer,,,,
recording_000043_batch3_raw_change_peak_t365.0,recording_000043,365.0,Fold a tissue paper,Fold and store a paper napkin,Fold a tissue paper,,,,
recording_000194_batch3_raw_change_peak_t436.0,recording_000194,436.0,"Unbox, inspect, and repackage power bank (start of cycle)","Unbox, inspect, and repackage power bank",Process portable power bank unit,,,,
recording_000043_batch3_raw_change_peak_t406.0,recording_000043,406.0,Fold a tissue paper,Fold a tissue paper,Fold a tissue paper,,,,
recording_000014_batch3_raw_change_peak_t433.0,recording_000014,433.0,Coil white cable,Uncoil white cable,Coil white cable,,,,
recording_000051_batch3_raw_change_peak_t432.0,recording_000051,432.0,Fold a new tissue (starts in clip),Fold tissue and place in bin,Folding a new tissue sheet,,,,
recording_000060_batch3_raw_change_peak_t113.0,recording_000060,113.0,Wipe table with second tissue,Wipe table with first tissue,Fold second tissue sheet,,,,
recording_000115_batch3_raw_change_peak_t376.0,recording_000115,376.0,Cleaning the windowsill and upper backsplash,Cleaning the left counter and sink edge,Wet countertop by hand with faucet water,,,,
recording_000016_batch3_raw_change_peak_t500.0,recording_000016,500.0,,Unfold compact umbrella,Roll folded canopy into a compact bundle,,,,
