stored_label,occurrences,draft_actions,draft_entities,draft_temporal,parser_flags,corrected_actions,corrected_entities,corrected_temporal,note
Fold and tuck plastic wrap around bowl sides to seal,1,fold(e1) ; tuck(e1),e1=plastic wrap around bowl sides seal,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,verb_position_uncertain,unknown_verbs:tuck",,,,
Fold and seal plastic wrap around the bowl rim,1,fold(e1) ; seal(e1)[{'region': 'rim'}],e1=plastic wrap around bowl,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Smooth plastic wrap on the bowl's top surface,1,smooth(e1)[{'region': 'top surface'}],e1=plastic wrap bowl s,,unknown_verbs:smooth,,,,
Adjusting bowl and plastic wrap position,1,adjusting(e1) ; plastic(e2),e1=bowl ; e2=wrap position,"before(a1,a2):inferred","order_inferred_from_and,verb_position_uncertain,unknown_verbs:adjusting/plastic",,,,
Unrolling and laying a plastic wrap sheet on the table,1,unrolling(e1) ; laying(e1),e1=plastic wrap sheet table,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:laying/unrolling",,,,
Seal plastic wrap to bowl rim,1,seal(e1)[{'region': 'rim'}],e1=plastic wrap bowl,,,,,,
Unseal box top,1,unseal(e1)[{'region': 'top'}],e1=box,,,,,,
Remove keychain from box,1,remove(e1),e1=keychain box,,,,,,
1st liquid coating application,1,st(e1),e1=liquid coating application,,unknown_verbs:st,,,,
2nd liquid coating application,1,nd(e1),e1=liquid coating application,,unknown_verbs:nd,,,,
Insert USB drive into box and seal,1,insert(e1) ; seal(e1),e1=usb drive box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Seal empty cardboard box with tape,1,seal(e1)[{'instrument': 'tape'}],e1=empty cardboard box,,,,,,
Disassemble box and store in plastic bag,1,disassemble(e1) ; store(e2),e1=box ; e2=plastic bag,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:disassemble",,,,
Unroll and prepare new plastic wrap from the roll,1,unroll(e1) ; prepare(e1),e1=new plastic wrap roll,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:prepare/unroll",,,,
Crumble plastic wrap and discard into basin,1,crumble(e1) ; discard(e2),e1=plastic wrap ; e2=basin,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:crumble/discard",,,,
Positioning plastic wrap over the bowl,1,positioning(e1),e1=plastic wrap bowl,,unknown_verbs:positioning,,,,
Test cable compatibility with phone,1,test(e1)[{'instrument': 'phone'}],e1=cable compatibility,,unknown_verbs:test,,,,
Return cable to drawer,1,return(e1),e1=cable drawer,,,,,,
Uncoil USB cable,1,uncoil(e1),e1=usb cable,,unknown_verbs:uncoil,,,,
Fold USB cable and place on table,1,fold(e1) ; place(e2),e1=usb cable ; e2=table,"before(a1,a2):inferred",order_inferred_from_and,,,,
Add liquid from third bottle to pan,1,add(e1),e1=liquid bottle pan,,unknown_verbs:add,,,,
Add liquid from second bottle to pan,1,add(e1),e1=liquid bottle pan,,unknown_verbs:add,,,,
Add liquid from fourth bottle to pan,1,add(e1),e1=liquid bottle pan,,unknown_verbs:add,,,,
Remove plastic wrap from bowl,1,remove(e1),e1=plastic wrap bowl,,,,,,
Cover bowl with new cling film from roll,1,cover(e1)[{'instrument': 'new cling film roll'}],e1=bowl,,,,,,
Removing and discarding plastic wrap,1,removing(e1) ; discarding(e1),e1=plastic wrap,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discarding/removing",,,,
Seal cardboard box with tape (first),1,seal(e1)[{'instrument': 'tape first'}],e1=cardboard box,,,,,,
Relocate black plastic bag,1,relocate(e1),e1=black plastic bag,,unknown_verbs:relocate,,,,
Reopen and inspect cardboard box,1,reopen(e1) ; inspect(e1),e1=cardboard box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:reopen",,,,
Close box flaps after second inspection,1,close(e1) ; inspection(e1),e1=box flaps,"before(a1,a2):stated","object_inherited,unknown_verbs:inspection",,,,
Seal cardboard box with tape second time,1,seal(e1)[{'instrument': 'tape second time'}],e1=cardboard box,,,,,,
Open reassembled cardboard box,1,open(e1),e1=reassembled cardboard box,,,,,,
Begin sealing cardboard box,1,begin(e1),e1=sealing cardboard box,,unknown_verbs:begin,,,,
Place item into cardboard box,1,place(e1),e1=item cardboard box,,,,,,
Retrieve plastic wrap roll,1,retrieve(e1),e1=plastic wrap roll,,,,,,
Assemble erect cardboard box,1,assemble(e1),e1=erect cardboard box,,unknown_verbs:assemble,,,,
Open box flaps for third inspection,1,open(e1),e1=box flaps inspection,,,,,,
Inspect box interior third time,1,inspect(e1)[{'region': 'interior'}],e1=box time,,,,,,
Apply liquid to pan with brush from bottle,1,apply(e1)[{'instrument': 'brush bottle'}],e1=liquid pan,,unknown_verbs:apply,,,,
Seal box end with tape,1,seal(e1)[{'instrument': 'tape'}],e1=box end,,,,,,
Open untaped cardboard box,1,open(e1),e1=untaped cardboard box,,,,,,
Seal cardboard box with adhesive tape,1,seal(e1)[{'instrument': 'adhesive tape'}],e1=cardboard box,,,,,,
Close cardboard box top flaps again,1,close(e1)[{'region': 'top'}],e1=cardboard box flaps,,,,,,
Store box in black plastic bag,1,store(e1),e1=box black plastic bag,,,,,,
Re-seal box top with packing tape,1,"seal(e1)[{'region': 'top', 'instrument': 'packing tape'}]",e1=box,,,,,,
Unpack USB and flatten box,1,unpack(e1) ; flatten(e2),e1=usb ; e2=box,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:flatten/unpack",,,,
Place flat box into bag,1,place(e1),e1=flat box bag,,,,,,
Picking up plastic wrap roll,1,picking(e1),e1=plastic wrap roll,,unknown_verbs:picking,,,,
Positioning unrolled plastic film over a bowl on a table,1,positioning(e1),e1=unrolled plastic film bowl table,,unknown_verbs:positioning,,,,
Open sealed box top,1,open(e1)[{'region': 'top'}],e1=sealed box,,,,,,
Crumble the removed plastic wrap,1,crumble(e1),e1=removed plastic wrap,,unknown_verbs:crumble,,,,
Inserting item into cardboard box and closing flaps,1,inserting(e1) ; closing(e2),e1=item cardboard box ; e2=flaps,"before(a1,a2):inferred","order_inferred_from_and,unknown_verbs:closing/inserting",,,,
Manipulate and discard ice cube into basin,1,manipulate(e1) ; discard(e1),e1=ice cube basin,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:discard/manipulate",,,,
Seal empty cardboard box with transparent tape,1,seal(e1)[{'instrument': 'transparent tape'}],e1=empty cardboard box,,,,,,
Crumpling and wetting a small plastic wrap piece,1,crumpling(e1) ; wetting(e1),e1=small plastic wrap piece,"before(a1,a2):inferred","object_inherited,order_inferred_from_and,unknown_verbs:crumpling/wetting",,,,
apply liquid coat to pan,1,apply(e1),e1=liquid coat pan,,unknown_verbs:apply,,,,
Briefly open and close box flaps,1,briefly(e1) ; close(e2),e1=open ; e2=box flaps,"before(a1,a2):inferred","order_inferred_from_and,verb_position_uncertain,unknown_verbs:briefly",,,,
Place cardboard box into plastic bag,1,place(e1),e1=cardboard box plastic bag,,,,,,
Recoil charging cable,1,recoil(e1),e1=charging cable,,unknown_verbs:recoil,,,,
Store recoil charging cable in drawer,1,store(e1),e1=recoil charging cable drawer,,,,,,
Unpack box from plastic bag,1,unpack(e1),e1=box plastic bag,,unknown_verbs:unpack,,,,
Remove top packing tape from cardboard box,1,remove(e1)[{'region': 'top'}],e1=packing tape cardboard box,,,,,,
Pack USB drive into box and seal with tape,1,pack(e1) ; seal(e1)[{'instrument': 'tape'}],e1=usb drive box,"before(a1,a2):inferred","object_inherited,order_inferred_from_and",,,,
Smooth plastic wrap on bowl top,1,smooth(e1)[{'region': 'top'}],e1=plastic wrap bowl,,unknown_verbs:smooth,,,,
Test charging cable with mobile phone,1,test(e1)[{'instrument': 'mobile phone'}],e1=charging cable,,unknown_verbs:test,,,,
